,title,type,release_year,runtime,production_countries,imdb_score,imdb_votes
215,Out of Life,MOVIE,1991,97,"['IT', 'LB', 'BE', 'FR']",6.9,365.0
216,Duplicate,MOVIE,1998,165,['IN'],5.5,7557.0
217,Govindha Govindha,MOVIE,1993,145,['IN'],6.6,351.0
218,Damini,MOVIE,1993,180,['IN'],7.8,3490.0
219,English Babu Desi Mem,MOVIE,1996,172,['IN'],4.5,2322.0
220,Before the Flying Circus,MOVIE,2000,55,['GB'],7.3,161.0
221,Sam Kinison: Live in Vegas,MOVIE,1991,72,['US'],6.6,272.0
222,Anjaam,MOVIE,1994,146,['IN'],6.6,6465.0
223,Mann,MOVIE,1999,174,['IN'],6.1,5413.0
224,Monty Python: Live at Aspen,MOVIE,1998,58,"['US', 'GB']",7.8,1092.0
225,Sinbad: Afros and Bellbottoms,MOVIE,1993,59,['US'],7.8,166.0
226,The Other,MOVIE,1999,106,"['EG', 'FR']",5.9,987.0
227,Sinbad: Son of a Preacher Man,MOVIE,1996,56,['US'],6.7,115.0
228,Children of Shatila,MOVIE,1999,50,['LB'],8.2,74.0
229,Gumrah,MOVIE,1993,149,['IN'],6.1,784.0
230,The Emigrant,MOVIE,1994,129,"['EG', 'FR']",6.5,998.0
231,Yodha,MOVIE,1991,142,['IN'],4.5,198.0
232,Avvai Shanmugi,MOVIE,1996,160,['IN'],7.9,2528.0
233,Minsara Kanavu,MOVIE,1997,145,['IN'],6.7,1212.0
234,Chronicle of a Disappearance,MOVIE,1996,88,"['US', 'FR', 'DE', 'PS']",6.9,718.0
235,Yaar Gaddar,MOVIE,1994,147,['IN'],3.6,142.0
236,Sinbad: Nothin' but the Funk,MOVIE,1998,55,['US'],6.2,65.0
237,Dushmani,MOVIE,1995,156,['IN'],5.0,248.0
238,Fiza,MOVIE,2000,170,['IN'],6.0,4168.0
239,Hello Brother,MOVIE,1999,131,['IN'],4.6,4230.0
241,Shikari,MOVIE,1991,162,"['IN', 'SU']",5.9,66.0
243,Breaking Bad,SHOW,2008,48,['US'],9.5,1727694.0
244,The Walking Dead,SHOW,2010,46,['US'],8.2,945125.0
245,The Staircase,SHOW,2004,49,['FR'],7.8,21531.0
246,Downton Abbey,SHOW,2010,58,['GB'],8.7,197744.0
247,Grey's Anatomy,SHOW,2005,49,['US'],7.6,293618.0
248,The Great British Baking Show,SHOW,2010,57,['GB'],8.6,9564.0
249,Criminal Minds,SHOW,2005,44,['US'],8.1,189191.0
250,NCIS,SHOW,2003,44,['US'],7.8,141049.0
251,Community,SHOW,2009,23,['US'],8.5,252564.0
252,Heartland,SHOW,2007,44,['CA'],8.4,15743.0
253,Supernatural,SHOW,2005,45,['US'],8.5,428639.0
254,Forgetting Sarah Marshall,MOVIE,2008,111,['US'],7.1,280121.0
255,War of the Worlds,MOVIE,2005,117,['US'],6.5,439027.0
256,Arrested Development,SHOW,2003,28,['US'],8.7,297552.0
257,The IT Crowd,SHOW,2006,25,['GB'],8.5,147409.0
258,30 Rock,SHOW,2006,25,['US'],8.3,121514.0
259,Avatar: The Last Airbender,SHOW,2005,24,['US'],9.3,297336.0
260,Inception,MOVIE,2010,148,"['GB', 'US']",8.8,2268288.0
261,The Other Guys,MOVIE,2010,107,['US'],6.6,263019.0
262,How to Train Your Dragon,MOVIE,2010,98,['US'],8.1,719717.0
263,Friday Night Lights,SHOW,2006,43,['US'],8.7,64449.0
264,Casino Royale,MOVIE,2006,139,"['GB', 'US', 'BS', 'CZ', 'DE']",8.0,644336.0
265,Michael Clayton,MOVIE,2007,120,['US'],7.2,163878.0
266,My Little Pony: Friendship Is Magic,SHOW,2010,22,"['CA', 'US']",7.6,20708.0
267,The Fairly OddParents,SHOW,2001,24,"['US', 'CA']",7.2,38046.0
268,Jackass: The Movie,MOVIE,2002,88,['US'],6.6,92305.0
269,Sonic X,SHOW,2003,21,['JP'],6.1,4577.0
270,DEATH NOTE,SHOW,2006,24,['JP'],9.0,302147.0
271,Zoolander,MOVIE,2001,90,"['US', 'DE']",6.5,260975.0
272,The Vampire Diaries,SHOW,2009,42,['US'],7.7,310776.0
273,Charlie and the Chocolate Factory,MOVIE,2005,106,"['GB', 'US', 'AU']",6.6,465995.0
274,Cleaner,MOVIE,2007,88,['US'],6.1,41052.0
275,Harold & Kumar Go to White Castle,MOVIE,2004,88,['US'],7.0,193053.0
276,The Social Network,MOVIE,2010,121,['US'],7.8,681286.0
277,Road to Perdition,MOVIE,2002,117,['US'],7.7,263212.0
278,Naruto,SHOW,2002,23,['JP'],8.4,93980.0
279,Blow,MOVIE,2001,124,['US'],7.5,255099.0
280,Shooter,MOVIE,2007,124,['US'],7.2,329417.0
281,Big Fish,MOVIE,2003,125,['US'],8.0,435503.0
282,The Bourne Ultimatum,MOVIE,2007,115,"['DE', 'ES', 'US', 'FR']",8.0,627009.0
283,Public Enemies,MOVIE,2009,143,['US'],7.0,297525.0
284,America's Next Top Model,SHOW,2003,44,['US'],5.6,17843.0
285,Sherlock Holmes,MOVIE,2009,129,"['GB', 'US', 'AU', 'DE']",7.6,620154.0
286,Love Actually,MOVIE,2003,139,"['GB', 'US']",7.6,474176.0
287,Closer,MOVIE,2004,94,"['GB', 'US']",7.2,215678.0
288,Chappelle's Show,SHOW,2003,21,['US'],8.8,62140.0
289,Something's Gotta Give,MOVIE,2003,128,['US'],6.7,120400.0
290,Grown Ups,MOVIE,2010,102,['US'],5.9,247229.0
291,The Blind Side,MOVIE,2009,129,['US'],7.6,323939.0
292,Quantum of Solace,MOVIE,2008,106,"['GB', 'US']",6.6,441023.0
293,The Ring,MOVIE,2002,111,"['JP', 'US']",7.1,341888.0
294,Trailer Park Boys,SHOW,2001,25,['CA'],8.6,41791.0
295,Into the Wild,MOVIE,2007,140,['US'],8.1,611379.0
296,True Grit,MOVIE,2010,110,['US'],7.6,333378.0
298,Rambo,MOVIE,2008,92,"['US', 'DE']",7.0,228799.0
299,Stardust,MOVIE,2007,122,"['US', 'IS', 'GB']",7.6,269043.0
300,Borgen,SHOW,2010,58,['DK'],8.5,23523.0
301,The Last Samurai,MOVIE,2003,154,"['NZ', 'JP', 'US']",7.8,429097.0
302,iCarly,SHOW,2007,26,['US'],6.7,38281.0
303,Victorious,SHOW,2010,25,['US'],6.9,24224.0
304,The Book of Eli,MOVIE,2010,118,['US'],6.8,312538.0
305,Identity,MOVIE,2003,90,['US'],7.3,240433.0
306,Merlin,SHOW,2008,44,['GB'],7.9,80138.0
308,Shrek Forever After,MOVIE,2010,93,['US'],6.3,200354.0
309,Hairspray,MOVIE,2007,117,"['US', 'GB']",6.7,128190.0
310,Corpse Bride,MOVIE,2005,77,['US'],7.3,265023.0
311,Let Me In,MOVIE,2010,116,"['GB', 'US']",7.1,120208.0
312,Monster,MOVIE,2003,110,['US'],7.3,149218.0
313,Without a Paddle,MOVIE,2004,95,['US'],5.8,47049.0
314,Once Upon a Time in Mexico,MOVIE,2003,102,['US'],6.3,160449.0
315,Cloudy with a Chance of Meatballs,MOVIE,2009,90,['US'],6.9,226225.0
316,Offspring,SHOW,2010,44,['AU'],8.3,4764.0
317,Blade II,MOVIE,2002,117,['US'],6.7,214461.0
318,Chloe,MOVIE,2009,99,"['US', 'CA', 'FR']",6.3,72916.0
319,Blood Diamond,MOVIE,2006,143,"['US', 'DE']",8.0,536858.0
320,The Lake House,MOVIE,2006,105,['US'],6.8,148043.0
321,Terminator 3: Rise of the Machines,MOVIE,2003,109,"['GB', 'US', 'DE']",6.3,393998.0
322,Beerfest,MOVIE,2006,110,['US'],6.2,67748.0
323,Heist,MOVIE,2001,107,['US'],6.5,36361.0
324,Catch and Release,MOVIE,2006,111,['US'],5.9,26157.0
325,Just Like Heaven,MOVIE,2005,95,['US'],6.7,106755.0
326,Gurren Lagann,SHOW,2007,24,['JP'],8.3,17024.0
327,Four Brothers,MOVIE,2005,109,['US'],6.8,144656.0
328,John Q,MOVIE,2002,116,['US'],7.0,131999.0
329,Not Another Teen Movie,MOVIE,2001,89,['US'],5.7,104604.0
